scope,source_id,allergen_tag,allergen_label,evidence
normalized_recipe,buttermilk_brine,milk,Milk,buttermilk
normalized_recipe,queso_mac_sauce,milk,Milk,heavy cream
normalized_recipe,queso_mac_sauce,milk,Milk,whole milk
normalized_recipe,queso_mac_sauce,milk,Milk,american cheese block
normalized_recipe,queso_mac_sauce,milk,Milk,shredded cheddar
normalized_recipe,queso_mac_sauce,wheat,Wheat,Braise min 5hr at 225F — shred pork — add roux if needed
normalized_recipe,chicken_flour,wheat,Wheat,ap flour
normalized_recipe,chicken_flour,gluten_barley_rye,Gluten (barley / rye / malt — verify),Dry dredge before beer batter
normalized_recipe,nashville_oil,milk,Milk,bread and butter pickle juice
normalized_recipe,aji_verde,eggs,Eggs,mayonnaise
normalized_recipe,special_sauce,eggs,Eggs,mayonnaise
normalized_recipe,cornbread,milk,Milk,butter
normalized_recipe,cornbread,milk,Milk,buttermilk
normalized_recipe,cornbread,milk,Milk,cheddar cheese
normalized_recipe,cornbread,milk,Milk,Bake 500F 1hr 30min — brown butter
normalized_recipe,green_chilli,wheat,Wheat,Braise min 5hr at 225F — shred pork — add roux if needed
normalized_recipe,santa_fe_caesar,fish,Fish,anchovy
normalized_recipe,santa_fe_caesar,eggs,Eggs,mayonnaise
normalized_recipe,tartar_sauce,eggs,Eggs,mayonnaise
normalized_recipe,tartar_sauce,milk,Milk,bread and butter pickles
normalized_recipe,beer_batter,wheat,Wheat,ap flour
normalized_recipe,beer_batter,gluten_barley_rye,Gluten (barley / rye / malt — verify),stout beer
normalized_recipe,beer_batter,gluten_barley_rye,Gluten (barley / rye / malt — verify),Guinness stout + vodka — rest 10 min before use
normalized_recipe,beer_flour,wheat,Wheat,ap flour
normalized_recipe,beer_flour,gluten_barley_rye,Gluten (barley / rye / malt — verify),Dry dredge before beer batter
normalized_recipe,corndog_batter,wheat,Wheat,ap flour
normalized_recipe,corndog_batter,milk,Milk,buttermilk
normalized_recipe,corndog_batter,milk,Milk,Buttermilk to right consistency
normalized_recipe,chipotle_aioli,eggs,Eggs,mayonnaise
normalized_recipe,alabama_white_sauce,eggs,Eggs,mayonnaise
normalized_recipe,alabama_white_sauce,eggs,Eggs,Mayo + ACV base — dissolve brown sugar if solidified
normalized_recipe,three_cheese_grilled_cheese,milk,Milk,cream cheese
normalized_recipe,three_cheese_grilled_cheese,milk,Milk,shredded double gloucester or cheddar
normalized_recipe,three_cheese_grilled_cheese,milk,Milk,heavy cream
